"playerid","teamabbrev","year","plateappearances","totalbases","babip","walksperplateappearance","strikeoutsperplateappearance","homerunsperplateappearance","walksperstrikeout","iso","gamesplayed","runs","doubles","triples","homeruns","strikeouts","baseonballs","hits","avg","atbats","slg","rbi","numberofpitches","pitchesperplateappearance","caughtstealing","stolenbases","stolenbasepercentage","hitbypitch","obp","ops","sacbunts","groundintodoubleplay","sacflies","intentionalwalks","walkoffs","flyouts","totalswings","swingandmisses","ballsinplay","popouts","lineouts","groundouts","groundhits","catchersinterference"
117158,"CHC",1903,524,210,NULL,"0.042",NULL,"0.006",NULL,"0.13",132,67,29,13,3,NULL,22,146,"0.297",491,"0.428","68",NULL,NULL,NULL,"23",NULL,"2","0.33","0.758","9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112183,"CHC",1903,531,194,NULL,"0.147",NULL,"0.004",NULL,"0.113",125,83,24,10,2,NULL,78,144,"0.327",441,"0.44","81",NULL,NULL,NULL,"67",NULL,"10","0.439","0.879","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123353,"CHC",1903,511,175,NULL,"0.072",NULL,"0.004",NULL,"0.089",124,67,21,7,2,NULL,37,134,"0.291",460,"0.38","70",NULL,NULL,NULL,"27",NULL,"1","0.345","0.725","13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112084,"CHC",1903,477,143,NULL,"0.04",NULL,"0.002",NULL,"0.039",112,56,8,3,1,NULL,19,126,"0.29",435,"0.329","40",NULL,NULL,NULL,"11",NULL,"3","0.324","0.653","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116679,"CHC",1903,559,167,NULL,"0.095",NULL,"0.002",NULL,"0.054",130,64,18,3,1,NULL,53,140,"0.282",497,"0.336","62",NULL,NULL,NULL,"15",NULL,"1","0.352","0.688","8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112624,"CHC",1903,29,5,NULL,"0.069",NULL,"0",NULL,"0.038",8,3,1,0,0,NULL,2,4,"0.154",26,"0.192","2",NULL,NULL,NULL,"1",NULL,"1","0.241","0.433","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112955,"CHC",1903,65,11,NULL,"0.062",NULL,"0",NULL,"0.034",28,2,0,1,0,NULL,4,9,"0.153",59,"0.186","4",NULL,NULL,NULL,"0",NULL,"0","0.206","0.392","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113949,"CHC",1903,497,177,NULL,"0.038",NULL,"0",NULL,"0.088",124,70,27,7,0,NULL,19,136,"0.293",464,"0.381","52",NULL,NULL,NULL,"25",NULL,"3","0.325","0.706","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115026,"CHC",1903,2,0,NULL,"0",NULL,"0",NULL,"0",1,0,0,0,0,NULL,0,0,"0",2,"0","0",NULL,NULL,NULL,"0",NULL,"0","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115425,"CHC",1903,30,2,NULL,"0.2",NULL,"0",NULL,"0",8,4,0,0,0,NULL,6,2,"0.095",21,"0.095","2",NULL,NULL,NULL,"1",NULL,"0","0.296","0.391","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115461,"CHC",1903,8,1,NULL,"0.125",NULL,"0",NULL,"0",3,0,0,0,0,NULL,1,1,"0.167",6,"0.167","1",NULL,NULL,NULL,"0",NULL,"1","0.375","0.542","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115481,"CHC",1903,457,100,NULL,"0.098",NULL,"0",NULL,"0.028",105,72,9,1,0,NULL,45,89,"0.231",386,"0.259","33",NULL,NULL,NULL,"27",NULL,"11","0.328","0.587","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117959,"CHC",1903,116,39,NULL,"0.034",NULL,"0",NULL,"0.105",32,14,5,3,0,NULL,4,28,"0.267",105,"0.371","15",NULL,NULL,NULL,"5",NULL,"4","0.319","0.69","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118006,"CHC",1903,75,7,NULL,"0.147",NULL,"0",NULL,"0",27,6,0,0,0,NULL,11,7,"0.115",61,"0.115","3",NULL,NULL,NULL,"1",NULL,"0","0.25","0.365","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118551,"CHC",1903,563,179,NULL,"0.041",NULL,"0",NULL,"0.079",132,58,25,8,0,NULL,23,138,"0.267",516,"0.347","57",NULL,NULL,NULL,"23",NULL,"1","0.3","0.647","23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118806,"CHC",1903,5,0,NULL,"0.2",NULL,"0",NULL,"0",1,0,0,0,0,NULL,1,0,"0",4,"0","1",NULL,NULL,NULL,"0",NULL,"0","0.2","0.2","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118948,"CHC",1903,69,16,NULL,"0.043",NULL,"0",NULL,"0.047",22,3,3,0,0,NULL,3,13,"0.203",64,"0.25","2",NULL,NULL,NULL,"0",NULL,"0","0.239","0.489","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119383,"CHC",1903,5,0,NULL,"0",NULL,"0",NULL,"0",1,1,0,0,0,NULL,0,0,"0",5,"0","0",NULL,NULL,NULL,"0",NULL,"0","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120945,"CHC",1903,92,26,NULL,"0.054",NULL,"0",NULL,"0.083",37,6,3,2,0,NULL,5,19,"0.226",84,"0.31","7",NULL,NULL,NULL,"3",NULL,"1","0.278","0.588","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122307,"CHC",1903,643,194,NULL,"0.126",NULL,"0",NULL,"0.059",139,104,20,6,0,NULL,81,162,"0.298",543,"0.357","44",NULL,NULL,NULL,"33",NULL,"4","0.393","0.75","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123146,"CHC",1903,136,39,NULL,"0.044",NULL,"0",NULL,"0.087",40,13,3,4,0,NULL,6,28,"0.222",126,"0.31","17",NULL,NULL,NULL,"3",NULL,"1","0.263","0.573","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124044,"CHC",1903,118,25,NULL,"0.076",NULL,"0",NULL,"0.037",35,10,4,0,0,NULL,9,21,"0.196",107,"0.234","6",NULL,NULL,NULL,"0",NULL,"1","0.265","0.499","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124230,"CHC",1903,108,33,NULL,"0.037",NULL,"0",NULL,"0.09",33,19,5,2,0,NULL,4,24,"0.24",100,"0.33","8",NULL,NULL,NULL,"1",NULL,"3","0.29","0.62","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124330,"CHC",1903,337,80,NULL,"0.039",NULL,"0",NULL,"0.041",91,24,9,2,0,NULL,13,67,"0.211",317,"0.252","22",NULL,NULL,NULL,"14",NULL,"0","0.242","0.494","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112183,"CHC",1904,514,194,NULL,"0.07",NULL,"0.012",NULL,"0.12",124,89,16,10,6,NULL,36,140,"0.31",451,"0.43","49",NULL,NULL,NULL,"42",NULL,"16","0.382","0.812","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116679,"CHC",1904,383,112,NULL,"0.107",NULL,"0.008",NULL,"0.089",98,44,11,5,3,NULL,41,82,"0.244",336,"0.333","39",NULL,NULL,NULL,"14",NULL,"2","0.33","0.663","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123353,"CHC",1904,531,155,NULL,"0.055",NULL,"0.006",NULL,"0.096",141,55,12,13,3,NULL,29,108,"0.221",488,"0.318","41",NULL,NULL,NULL,"41",NULL,"2","0.268","0.586","12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117158,"CHC",1904,483,134,NULL,"0.033",NULL,"0.004",NULL,"0.053",123,41,18,0,2,NULL,16,110,"0.243",452,"0.296","46",NULL,NULL,NULL,"7",NULL,"1","0.271","0.567","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121879,"CHC",1904,87,40,NULL,"0.023",NULL,"0.023",NULL,"0.19",20,16,4,3,2,NULL,2,24,"0.286",84,"0.476","13",NULL,NULL,NULL,"1",NULL,"1","0.31","0.786","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110634,"CHC",1904,428,110,NULL,"0.065",NULL,"0.002",NULL,"0.042",109,44,9,2,1,NULL,28,94,"0.244",385,"0.286","29",NULL,NULL,NULL,"14",NULL,"3","0.3","0.586","12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111464,"CHC",1904,101,20,NULL,"0.05",NULL,"0.01",NULL,"0.043",34,6,1,0,1,NULL,5,16,"0.17",94,"0.213","4",NULL,NULL,NULL,"0",NULL,"0","0.212","0.425","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112084,"CHC",1904,593,178,NULL,"0.03",NULL,"0.002",NULL,"0.057",136,71,20,4,1,NULL,18,147,"0.268",548,"0.325","43",NULL,NULL,NULL,"21",NULL,"7","0.3","0.625","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116038,"CHC",1904,27,10,NULL,"0.037",NULL,"0.037",NULL,"0.115",7,7,0,0,1,NULL,1,7,"0.269",26,"0.385","4",NULL,NULL,NULL,"2",NULL,"0","0.296","0.681","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120025,"CHC",1904,182,44,NULL,"0.033",NULL,"0.005",NULL,"0.048",51,8,5,0,1,NULL,6,36,"0.214",168,"0.262","19",NULL,NULL,NULL,"1",NULL,"4","0.258","0.52","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122307,"CHC",1904,532,160,NULL,"0.077",NULL,"0.002",NULL,"0.073",120,73,12,10,1,NULL,41,125,"0.26",481,"0.333","31",NULL,NULL,NULL,"28",NULL,"3","0.322","0.655","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111577,"CHC",1904,92,24,NULL,"0.022",NULL,"0",NULL,"0.056",31,8,3,1,0,NULL,2,19,"0.213",89,"0.27","8",NULL,NULL,NULL,"0",NULL,"0","0.231","0.501","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112019,"CHC",1904,8,0,NULL,"0.125",NULL,"0",NULL,"0",2,0,0,0,0,NULL,1,0,"0",7,"0","0",NULL,NULL,NULL,"0",NULL,"0","0.125","0.125","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113949,"CHC",1904,587,169,NULL,"0.048",NULL,"0",NULL,"0.053",152,49,14,7,0,NULL,28,141,"0.265",532,"0.318","47",NULL,NULL,NULL,"26",NULL,"4","0.307","0.625","23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115196,"CHC",1904,6,0,NULL,"0",NULL,"0",NULL,"0",3,0,0,0,0,NULL,0,0,"0",6,"0","0",NULL,NULL,NULL,"0",NULL,"0","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116102,"CHC",1904,3,2,NULL,"0",NULL,"0",NULL,"0.333",1,1,1,0,0,NULL,0,1,"0.333",3,"0.667","0",NULL,NULL,NULL,"0",NULL,"0","0.333","1","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118006,"CHC",1904,97,27,NULL,"0.052",NULL,"0",NULL,"0.078",31,7,3,2,0,NULL,5,20,"0.222",90,"0.3","8",NULL,NULL,NULL,"1",NULL,"0","0.263","0.563","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118551,"CHC",1904,476,132,NULL,"0.048",NULL,"0",NULL,"0.042",115,36,14,2,0,NULL,23,114,"0.264",432,"0.306","51",NULL,NULL,NULL,"14",NULL,"4","0.307","0.613","17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118570,"CHC",1904,92,33,NULL,"0.043",NULL,"0",NULL,"0.114",22,9,6,2,0,NULL,4,23,"0.261",88,"0.375","11",NULL,NULL,NULL,"2",NULL,"0","0.293","0.668","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119383,"CHC",1904,14,0,NULL,"0.071",NULL,"0",NULL,"0",4,0,0,0,0,NULL,1,0,"0",13,"0","0",NULL,NULL,NULL,"0",NULL,"0","0.071","0.071","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121536,"CHC",1904,3,1,NULL,"0",NULL,"0",NULL,"0",2,0,0,0,0,NULL,0,1,"0.333",3,"0.333","0",NULL,NULL,NULL,"0",NULL,"0","0.333","0.666","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122347,"CHC",1904,32,7,NULL,"0.094",NULL,"0",NULL,"0.034",10,2,1,0,0,NULL,3,6,"0.207",29,"0.241","1",NULL,NULL,NULL,"1",NULL,"0","0.281","0.522","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122680,"CHC",1904,3,0,NULL,"0",NULL,"0",NULL,"0",1,0,0,0,0,NULL,0,0,"0",3,"0","0",NULL,NULL,NULL,"0",NULL,"0","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123654,"CHC",1904,11,0,NULL,"0",NULL,"0",NULL,"0",3,0,0,0,0,NULL,0,0,"0",11,"0","0",NULL,NULL,NULL,"0",NULL,"0","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124044,"CHC",1904,119,24,NULL,"0.008",NULL,"0",NULL,"0.026",37,5,3,0,0,NULL,1,21,"0.183",115,"0.209","11",NULL,NULL,NULL,"1",NULL,"1","0.197","0.406","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124230,"CHC",1904,163,35,NULL,"0.025",NULL,"0",NULL,"0.006",50,17,1,0,0,NULL,4,34,"0.219",155,"0.226","9",NULL,NULL,NULL,"4",NULL,"1","0.244","0.47","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124330,"CHC",1904,206,43,NULL,"0.063",NULL,"0",NULL,"0.032",57,21,4,1,0,NULL,13,37,"0.2",185,"0.232","8",NULL,NULL,NULL,"9",NULL,"1","0.256","0.488","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112183,"CHC",1905,502,170,NULL,"0.155",NULL,"0.004",NULL,"0.117",118,92,16,12,2,NULL,78,124,"0.316",392,"0.434","70",NULL,NULL,NULL,"38",NULL,"17","0.45","0.884","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118220,"CHC",1905,627,196,NULL,"0.069",NULL,"0.003",NULL,"0.091",145,78,17,14,2,NULL,43,145,"0.26",558,"0.351","56",NULL,NULL,NULL,"59",NULL,"11","0.325","0.676","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123353,"CHC",1905,611,175,NULL,"0.056",NULL,"0.003",NULL,"0.073",149,70,18,8,2,NULL,34,135,"0.247",547,"0.32","66",NULL,NULL,NULL,"31",NULL,"1","0.292","0.612","29",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111577,"CHC",1905,104,19,NULL,"0.038",NULL,"0.01",NULL,"0.065",31,6,1,1,1,NULL,4,13,"0.14",93,"0.204","3",NULL,NULL,NULL,"1",NULL,"0","0.175","0.379","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112084,"CHC",1905,594,166,NULL,"0.069",NULL,"0.002",NULL,"0.084",144,66,21,10,1,NULL,41,122,"0.232",526,"0.316","56",NULL,NULL,NULL,"22",NULL,"6","0.295","0.611","21",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113949,"CHC",1905,389,112,NULL,"0.069",NULL,"0.003",NULL,"0.053",99,44,11,2,1,NULL,27,94,"0.276",340,"0.329","37",NULL,NULL,NULL,"19",NULL,"2","0.333","0.662","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116038,"CHC",1905,316,93,NULL,"0.063",NULL,"0.003",NULL,"0.087",86,43,14,4,1,NULL,20,68,"0.237",287,"0.324","38",NULL,NULL,NULL,"15",NULL,"1","0.289","0.613","8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117158,"CHC",1905,425,106,NULL,"0.066",NULL,"0.002",NULL,"0.061",111,26,8,6,1,NULL,28,83,"0.218",380,"0.279","52",NULL,NULL,NULL,"13",NULL,"0","0.272","0.551","17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121879,"CHC",1905,549,181,NULL,"0.058",NULL,"0.002",NULL,"0.093",123,67,15,14,1,NULL,32,135,"0.274",493,"0.367","47",NULL,NULL,NULL,"16",NULL,"6","0.326","0.693","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111464,"CHC",1905,64,3,NULL,"0.063",NULL,"0",NULL,"0",20,1,0,0,0,NULL,4,3,"0.053",57,"0.053","1",NULL,NULL,NULL,"0",NULL,"0","0.115","0.168","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117846,"CHC",1905,56,11,NULL,"0.054",NULL,"0",NULL,"0.043",14,7,2,0,0,NULL,3,9,"0.196",46,"0.239","1",NULL,NULL,NULL,"4",NULL,"1","0.26","0.499","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118006,"CHC",1905,68,14,NULL,"0.074",NULL,"0",NULL,"0.049",24,6,1,1,0,NULL,5,11,"0.18",61,"0.23","3",NULL,NULL,NULL,"0",NULL,"0","0.242","0.472","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118551,"CHC",1905,186,57,NULL,"0.054",NULL,"0",NULL,"0.059",59,16,4,3,0,NULL,10,47,"0.276",170,"0.335","14",NULL,NULL,NULL,"8",NULL,"1","0.32","0.655","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120025,"CHC",1905,197,42,NULL,"0.041",NULL,"0",NULL,"0.047",53,16,4,2,0,NULL,8,34,"0.198",172,"0.244","12",NULL,NULL,NULL,"6",NULL,"11","0.277","0.521","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120493,"CHC",1905,41,11,NULL,"0",NULL,"0",NULL,"0.075",15,4,3,0,0,NULL,0,8,"0.2",40,"0.275","3",NULL,NULL,NULL,"2",NULL,"0","0.2","0.475","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121087,"CHC",1905,113,14,NULL,"0.009",NULL,"0",NULL,"0",35,6,0,0,0,NULL,1,14,"0.127",110,"0.127","7",NULL,NULL,NULL,"0",NULL,"0","0.135","0.262","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122307,"CHC",1905,681,180,NULL,"0.142",NULL,"0",NULL,"0.048",155,96,19,4,0,NULL,97,153,"0.269",568,"0.317","37",NULL,NULL,NULL,"27",NULL,"3","0.379","0.696","13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124044,"CHC",1905,97,22,NULL,"0.041",NULL,"0",NULL,"0.033",33,8,1,1,0,NULL,4,19,"0.207",92,"0.239","6",NULL,NULL,NULL,"0",NULL,"0","0.24","0.479","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124230,"CHC",1905,79,10,NULL,"0.051",NULL,"0",NULL,"0",25,5,0,0,0,NULL,4,10,"0.139",72,"0.139","3",NULL,NULL,NULL,"1",NULL,"0","0.184","0.323","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121879,"CHC",1906,630,223,NULL,"0.049",NULL,"0.011",NULL,"0.115",146,77,18,13,7,NULL,31,158,"0.281",563,"0.396","60",NULL,NULL,NULL,"25",NULL,"5","0.324","0.72","31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112183,"CHC",1906,574,204,NULL,"0.122",NULL,"0.005",NULL,"0.112",136,103,24,10,3,NULL,70,151,"0.319",474,"0.43","71",NULL,NULL,NULL,"57",NULL,"12","0.419","0.849","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122729,"CHC",1906,625,232,NULL,"0.075",NULL,"0.005",NULL,"0.104",151,81,27,10,3,NULL,47,176,"0.327",539,"0.43","83",NULL,NULL,NULL,"29",NULL,"14","0.395","0.825","25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116038,"CHC",1906,221,64,NULL,"0.09",NULL,"0.009",NULL,"0.072",65,30,2,3,2,NULL,20,50,"0.256",195,"0.328","20",NULL,NULL,NULL,"13",NULL,"0","0.326","0.654","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117158,"CHC",1906,375,144,NULL,"0.061",NULL,"0.005",NULL,"0.108",108,45,15,8,2,NULL,23,107,"0.312",343,"0.42","46",NULL,NULL,NULL,"14",NULL,"1","0.357","0.777","8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113949,"CHC",1906,595,168,NULL,"0.061",NULL,"0.002",NULL,"0.06",154,65,17,6,1,NULL,36,136,"0.255",533,"0.315","51",NULL,NULL,NULL,"49",NULL,"2","0.305","0.62","24",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122100,"CHC",1906,662,194,NULL,"0.101",NULL,"0.002",NULL,"0.091",149,90,27,10,1,NULL,67,144,"0.262",549,"0.353","45",NULL,NULL,NULL,"30",NULL,"6","0.349","0.702","40",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123353,"CHC",1906,603,151,NULL,"0.071",NULL,"0.002",NULL,"0.055",148,75,18,4,1,NULL,43,122,"0.233",523,"0.289","64",NULL,NULL,NULL,"30",NULL,"1","0.293","0.582","36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111577,"CHC",1906,109,21,NULL,"0.055",NULL,"0",NULL,"0.01",37,11,1,0,0,NULL,6,20,"0.204",98,"0.214","4",NULL,NULL,NULL,"0",NULL,"0","0.25","0.464","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114726,"CHC",1906,136,37,NULL,"0.11",NULL,"0",NULL,"0.069",43,11,4,2,0,NULL,15,29,"0.25",116,"0.319","14",NULL,NULL,NULL,"7",NULL,"2","0.346","0.665","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115489,"CHC",1906,15,3,NULL,"0.2",NULL,"0",NULL,"0",6,1,0,0,0,NULL,3,3,"0.273",11,"0.273","2",NULL,NULL,NULL,"0",NULL,"0","0.429","0.702","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118006,"CHC",1906,82,15,NULL,"0.11",NULL,"0",NULL,"0.045",28,4,3,0,0,NULL,9,12,"0.179",67,"0.224","2",NULL,NULL,NULL,"0",NULL,"0","0.276","0.5","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119341,"CHC",1906,243,72,NULL,"0.029",NULL,"0",NULL,"0.066",70,22,13,1,0,NULL,7,57,"0.252",226,"0.319","35",NULL,NULL,NULL,"6",NULL,"2","0.281","0.6","8",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120128,"CHC",1906,89,18,NULL,"0.022",NULL,"0",NULL,"0.036",31,10,3,0,0,NULL,2,15,"0.179",84,"0.214","4",NULL,NULL,NULL,"1",NULL,"0","0.198","0.412","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120496,"CHC",1906,90,4,NULL,"0.033",NULL,"0",NULL,"0",31,5,0,0,0,NULL,3,4,"0.048",84,"0.048","1",NULL,NULL,NULL,"0",NULL,"1","0.091","0.139","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121087,"CHC",1906,91,13,NULL,"0.022",NULL,"0",NULL,"0",34,4,0,0,0,NULL,2,13,"0.157",83,"0.157","4",NULL,NULL,NULL,"0",NULL,"0","0.176","0.333","6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122307,"CHC",1906,571,139,NULL,"0.11",NULL,"0",NULL,"0.04",127,71,8,6,0,NULL,63,119,"0.239",498,"0.279","33",NULL,NULL,NULL,"25",NULL,"0","0.324","0.603","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122428,"CHC",1906,1,0,NULL,"0",NULL,"0",NULL,"0",1,0,0,0,0,NULL,0,0,"0",1,"0","0",NULL,NULL,NULL,"0",NULL,"0","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
